"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Austria","AUT","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85702.2282329653","85778.2434697606","86003.3312769791","85228.7751681184","87457.3283670903","91049.2714003103","93075.9564232441","95910.8731666835","97729.7447078814","100729.521958596","101601.833204245","101936.8648558","102320.962516393","109058.449198984","107773.752614588","109485.374547305","110706.077245598","110231.18048664","106200.86176696","107107.531191348","109209.35325726","109101.219003631","108633.3925928","109222.124490747","109256.626952349","109999.582272443","111379.60894253","112445.357464196","113751.505221109",
"Azerbaijan","AZE","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18953.5254682017","14423.4392769621","11077.188897289","8822.45773639265","7689.02554934856","7751.96009158526","8185.54567023351","8983.9108073923","9605.59960747085","10598.9820942011","11307.2390709551","12014.8052704715","12871.1441470638","13567.2723804889","16813.5696042826","21934.3119750495","26833.8005670778","28530.4734202079","30101.4861482563","30827.5627103108","29685.5753109488","29714.0451813929","30875.571188933","31134.1531197657","30930.5992086803","29428.5341804207","29098.4452667369","29172.3170558403","29940.9212352159",
"Burundi","BDI","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2675.91284464626","2694.58276159052","2519.9284787327","2417.4462244586","2221.531447787","2041.69481200227","2008.50686341756","2101.04761721265","2065.21339575537","2022.59601334596","2008.81515089246","2033.93037915311","1940.82622702188","1961.73623494853","1907.63307754888","1939.42151730183","1933.62136379369","1955.1192049421","1961.93551905449","1993.54389883268","2013.05472230887","2042.22742531058","2082.53114637152","2109.55544243164","1957.65271056151","1879.38537414081","1824.14490666124","1790.6979623459","1764.44462639642",
"Belgium","BEL","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96041.7195978082","96283.4236542132","96221.6036147556","99531.6912124502","100789.506752284","102220.813392987","104964.344970865","106525.939188593","106681.596760291","107119.739092192","110418.68928971","112073.138962559","113364.135430739","114826.044528783","114988.142952563","117194.385956445","118226.322148142","117062.605493088","115323.810755874","116708.927049624","117702.607865667","118231.735018642","118589.399119114","119960.218842541","121915.76779435","122730.467578063","123281.690724626","122328.873940225","123281.565826938",
"Benin","BEN","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5664.19934092865","5627.09613209608","5731.25226997614","5627.3581757641","5749.49833977342","5814.12786936309","5961.74184106604","6012.7606315643","6145.15687990879","6307.59072870734","6449.10144190431","6548.12207072739","6550.69526582418","6618.73544328774","6518.41870607701","6583.09616209922","6783.08507757975","6920.95511115611","6895.3527909083","6850.88569404945","6977.26395860069","7095.64577295489","7379.45247238001","7606.65130006327","7499.18744145561","7511.43698021115","7690.06707021766","7949.29256205438","8209.46761448984",
"Burkina Faso","BFA","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2542.6134987084","2498.30726763784","2532.31365310522","2510.12303704567","2593.62694577152","2822.6584521948","2937.80513053873","3084.03218041183","3243.36476878607","3233.54282072665","3382.75190147545","3462.23858753142","3657.87978565671","3764.0914303311","4029.27385532354","4183.63320337528","4250.10319296169","4416.32064041171","4481.6815085499","4783.14530465166","5028.25307164228","5278.39126392157","5509.57492614706","5669.28250781016","5697.02717416538","5840.52545638202","5995.91587947277","6194.02737879791","6356.33467477907",
"Bangladesh","BGD","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4661.35360717339","4775.00797065773","4856.56186799109","4896.1347195495","4991.52806234535","5070.13569377844","5152.04141126132","5269.7262612321","5368.25664245666","5503.0313852723","5654.46468000429","5746.38621755638","5893.63686749297","6056.73101125659","6308.84416560009","6566.93408645686","6930.46596635416","7253.80038433796","7552.30183142031","7709.16446553623","8084.35924088797","8485.46607868037","8866.76821983787","9231.41102585719","9659.21409014777","10164.4323268342","10299.8534886138","10883.5728914162","11555.2309152771",
"Bulgaria","BGR","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27821.4482446094","25999.2312555675","26116.6340007094","26959.2779894377","28169.1038520612","30107.2515806518","26301.9433726513","27511.3670689735","26334.7914746654","28924.3064969012","30774.9028472524","32718.4209835482","33335.8287305319","34365.6380477709","36663.6936058305","37471.9955972432","38220.3258429326","39294.2914762717","39268.5307062976","42032.540966538","44589.8907649899","45137.2718414804","45285.0788655365","45450.5764838506","46445.1140788265","48403.8915153592","47984.8080082371","49403.2442889971","51102.8257359525",
"Bahrain","BHR","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96878.652223256","99870.8220668057","109120.347535709","104593.243992673","104678.715019799","106331.386158112","106511.481363962","108150.780194889","108935.620847082","109135.285758624","104861.2505652","100676.70684574","98865.8158410101","96998.2114706265","94109.9056173497","90396.2690287866","88064.6454586925","84774.0110847635","80269.3686104071","78407.9988288512","78667.9920608485","80146.3806633515","83717.5237181095","85954.0949279458","86159.1922537936","84618.4177297872","82451.7563017933","78804.8001416925","76052.3361852949",
"Bahamas, The","BHS","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83539.6766633849","80212.4790706184","76299.7322696637","77550.1098803796","76555.0449815798","79132.6751054169","77964.5623624938","78352.1464744989","82233.4366400158","83734.634028054","83944.4518964824","86379.6929868831","85316.3319376673","83820.7547196961","84962.8383968271","82569.191197534","82206.5603535639","78957.9089730738","79538.4601973325","79761.8475002169","78478.5826929081","78849.7766057379","77000.705478748","74036.2201810995","71675.8417716607","71314.5703040248","67977.7458771302","68193.6952166531","68706.4295064293",
